Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
apex,1,22,146,124,2.0,7.0,5.636363636363637,1.4324622340390174,2.051948051948053
swpdc,1,1,7,6,6.0,6.0,6.0,0.0,0.0
swpdc,10,2,45,43,17.0,26.0,21.5,6.363961030678928,40.5
swpdc,11,1,30,29,29.0,29.0,29.0,0.0,0.0
swpdc,12,2,45,43,17.0,26.0,21.5,6.363961030678928,40.5
swpdc,13,2,45,43,17.0,26.0,21.5,6.363961030678928,40.5
swpdc,14,2,45,43,17.0,26.0,21.5,6.363961030678928,40.5
swpdc,15,2,45,43,17.0,26.0,21.5,6.363961030678928,40.5
swpdc,16,1,30,29,29.0,29.0,29.0,0.0,0.0
swpdc,17,2,45,43,17.0,26.0,21.5,6.363961030678928,40.5
swpdc,18,2,45,43,17.0,26.0,21.5,6.363961030678928,40.5
swpdc,19,2,45,43,17.0,26.0,21.5,6.363961030678928,40.5
swpdc,2,1,13,12,12.0,12.0,12.0,0.0,0.0
swpdc,20,2,45,43,17.0,26.0,21.5,6.363961030678928,40.5
swpdc,3,1,26,25,25.0,25.0,25.0,0.0,0.0
swpdc,4,1,23,22,22.0,22.0,22.0,0.0,0.0
swpdc,5,1,45,44,44.0,44.0,44.0,0.0,0.0
swpdc,6,1,42,41,41.0,41.0,41.0,0.0,0.0
swpdc,7,1,33,32,32.0,32.0,32.0,0.0,0.0
swpdc,8,2,50,48,18.0,30.0,24.0,8.48528137423857,72.0
swpdc,9,1,19,18,18.0,18.0,18.0,0.0,0.0
