Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
10-4-4,1,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,10,1,56,55,55.0,55.0,55.0,0.0,0.0
10-4-4,100,1,60,59,59.0,59.0,59.0,0.0,0.0
10-4-4,11,1,52,51,51.0,51.0,51.0,0.0,0.0
10-4-4,12,1,51,50,50.0,50.0,50.0,0.0,0.0
10-4-4,14,1,62,61,61.0,61.0,61.0,0.0,0.0
10-4-4,15,1,59,58,58.0,58.0,58.0,0.0,0.0
10-4-4,16,1,52,51,51.0,51.0,51.0,0.0,0.0
10-4-4,17,1,49,48,48.0,48.0,48.0,0.0,0.0
10-4-4,18,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,19,1,53,52,52.0,52.0,52.0,0.0,0.0
10-4-4,2,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,20,1,61,60,60.0,60.0,60.0,0.0,0.0
10-4-4,21,1,59,58,58.0,58.0,58.0,0.0,0.0
10-4-4,22,1,51,50,50.0,50.0,50.0,0.0,0.0
10-4-4,23,1,52,51,51.0,51.0,51.0,0.0,0.0
10-4-4,24,1,65,64,64.0,64.0,64.0,0.0,0.0
10-4-4,25,1,53,52,52.0,52.0,52.0,0.0,0.0
10-4-4,26,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,27,1,55,54,54.0,54.0,54.0,0.0,0.0
10-4-4,28,1,64,63,63.0,63.0,63.0,0.0,0.0
10-4-4,29,1,57,56,56.0,56.0,56.0,0.0,0.0
10-4-4,3,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,30,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,31,1,56,55,55.0,55.0,55.0,0.0,0.0
10-4-4,32,1,64,63,63.0,63.0,63.0,0.0,0.0
10-4-4,33,1,63,62,62.0,62.0,62.0,0.0,0.0
10-4-4,34,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,35,1,62,61,61.0,61.0,61.0,0.0,0.0
10-4-4,36,1,54,53,53.0,53.0,53.0,0.0,0.0
10-4-4,37,1,49,48,48.0,48.0,48.0,0.0,0.0
10-4-4,38,1,65,64,64.0,64.0,64.0,0.0,0.0
10-4-4,39,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,4,1,64,63,63.0,63.0,63.0,0.0,0.0
10-4-4,40,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,41,1,57,56,56.0,56.0,56.0,0.0,0.0
10-4-4,42,1,58,57,57.0,57.0,57.0,0.0,0.0
10-4-4,43,1,46,45,45.0,45.0,45.0,0.0,0.0
10-4-4,44,1,55,54,54.0,54.0,54.0,0.0,0.0
10-4-4,45,1,47,46,46.0,46.0,46.0,0.0,0.0
10-4-4,46,1,57,56,56.0,56.0,56.0,0.0,0.0
10-4-4,47,1,55,54,54.0,54.0,54.0,0.0,0.0
10-4-4,48,1,53,52,52.0,52.0,52.0,0.0,0.0
10-4-4,49,1,56,55,55.0,55.0,55.0,0.0,0.0
10-4-4,5,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,50,1,59,58,58.0,58.0,58.0,0.0,0.0
10-4-4,51,1,47,46,46.0,46.0,46.0,0.0,0.0
10-4-4,52,1,49,48,48.0,48.0,48.0,0.0,0.0
10-4-4,53,1,53,52,52.0,52.0,52.0,0.0,0.0
10-4-4,54,1,52,51,51.0,51.0,51.0,0.0,0.0
10-4-4,55,1,51,50,50.0,50.0,50.0,0.0,0.0
10-4-4,56,1,53,52,52.0,52.0,52.0,0.0,0.0
10-4-4,57,1,63,62,62.0,62.0,62.0,0.0,0.0
10-4-4,58,1,49,48,48.0,48.0,48.0,0.0,0.0
10-4-4,59,1,48,47,47.0,47.0,47.0,0.0,0.0
10-4-4,6,1,63,62,62.0,62.0,62.0,0.0,0.0
10-4-4,60,1,52,51,51.0,51.0,51.0,0.0,0.0
10-4-4,61,1,61,60,60.0,60.0,60.0,0.0,0.0
10-4-4,62,1,55,54,54.0,54.0,54.0,0.0,0.0
10-4-4,63,1,49,48,48.0,48.0,48.0,0.0,0.0
10-4-4,64,1,62,61,61.0,61.0,61.0,0.0,0.0
10-4-4,65,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,66,1,53,52,52.0,52.0,52.0,0.0,0.0
10-4-4,67,1,60,59,59.0,59.0,59.0,0.0,0.0
10-4-4,68,1,51,50,50.0,50.0,50.0,0.0,0.0
10-4-4,69,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,7,1,52,51,51.0,51.0,51.0,0.0,0.0
10-4-4,70,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,71,1,56,55,55.0,55.0,55.0,0.0,0.0
10-4-4,72,1,48,47,47.0,47.0,47.0,0.0,0.0
10-4-4,73,1,52,51,51.0,51.0,51.0,0.0,0.0
10-4-4,75,1,69,68,68.0,68.0,68.0,0.0,0.0
10-4-4,76,1,61,60,60.0,60.0,60.0,0.0,0.0
10-4-4,77,1,57,56,56.0,56.0,56.0,0.0,0.0
10-4-4,78,1,59,58,58.0,58.0,58.0,0.0,0.0
10-4-4,79,1,49,48,48.0,48.0,48.0,0.0,0.0
10-4-4,8,1,51,50,50.0,50.0,50.0,0.0,0.0
10-4-4,80,1,55,54,54.0,54.0,54.0,0.0,0.0
10-4-4,81,1,61,60,60.0,60.0,60.0,0.0,0.0
10-4-4,82,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,83,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,84,1,51,50,50.0,50.0,50.0,0.0,0.0
10-4-4,85,1,56,55,55.0,55.0,55.0,0.0,0.0
10-4-4,86,1,54,53,53.0,53.0,53.0,0.0,0.0
10-4-4,87,1,59,58,58.0,58.0,58.0,0.0,0.0
10-4-4,88,1,50,49,49.0,49.0,49.0,0.0,0.0
10-4-4,89,1,52,51,51.0,51.0,51.0,0.0,0.0
